StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          35.0       35.0       0.0        0.0        230.0      0.0       
S0         f          35.0       35.0       0.0        0.0        230.0      0.0       
S1         f          49.0       97.0       0.0        0.0        230.0      0.0       
S2         f          53.0       5.0        0.0        0.0        230.0      0.0       
S3         f          33.0       65.0       0.0        0.0        230.0      0.0       
S4         f          62.0       51.0       0.0        0.0        230.0      0.0       
S5         f          38.0       61.0       0.0        0.0        230.0      0.0       
S6         f          45.0       74.0       0.0        0.0        230.0      0.0       
S7         f          27.0       64.0       0.0        0.0        230.0      0.0       
S8         f          17.0       36.0       0.0        0.0        230.0      0.0       
S9         f          17.0       96.0       0.0        0.0        230.0      0.0       
S10        f          12.0       79.0       0.0        0.0        230.0      0.0       
S11        f          32.0       68.0       0.0        0.0        230.0      0.0       
S12        f          90.0       77.0       0.0        0.0        230.0      0.0       
S13        f          18.0       39.0       0.0        0.0        230.0      0.0       
S14        f          12.0       93.0       0.0        0.0        230.0      0.0       
S15        f          9.0        87.0       0.0        0.0        230.0      0.0       
S16        f          42.0       60.0       0.0        0.0        230.0      0.0       
S17        f          71.0       12.0       0.0        0.0        230.0      0.0       
S18        f          45.0       55.0       0.0        0.0        230.0      0.0       
S19        f          40.0       78.0       0.0        0.0        230.0      0.0       
S20        f          81.0       26.0       0.0        0.0        230.0      0.0       
C1         c          21.0       65.0       10.0       161.0      171.0      10.0      
C2         c          62.0       32.0       7.0        50.0       60.0       10.0      
C3         c          44.0       13.0       13.0       116.0      126.0      10.0      
C4         c          25.0       35.0       19.0       149.0      159.0      10.0      
C5         c          34.0       90.0       26.0       34.0       44.0       10.0      
C6         c          0.0        8.0        3.0        99.0       109.0      10.0      
C7         c          43.0       40.0       5.0        81.0       91.0       10.0      
C8         c          12.0       24.0       9.0        95.0       105.0      10.0      
C9         c          69.0       14.0       16.0       97.0       107.0      10.0      
C10        c          3.0        1.0        16.0       124.0      134.0      10.0      
C11        c          98.0       9.0        12.0       67.0       77.0       10.0      
C12        c          16.0       76.0       19.0       63.0       73.0       10.0      
C13        c          64.0       76.0       23.0       159.0      169.0      10.0      
C14        c          57.0       80.0       20.0       32.0       42.0       10.0      
C15        c          85.0       37.0       8.0        61.0       71.0       10.0      
C16        c          37.0       0.0        19.0       75.0       85.0       10.0      
C17        c          26.0       85.0       2.0        157.0      167.0      10.0      
C18        c          21.0       43.0       12.0       87.0       97.0       10.0      
C19        c          20.0       56.0       17.0       76.0       86.0       10.0      
C20        c          28.0       72.0       9.0        126.0      136.0      10.0      
C21        c          15.0       32.0       11.0       62.0       72.0       10.0      
C22        c          46.0       71.0       18.0       97.0       107.0      10.0      
C23        c          44.0       58.0       29.0       68.0       78.0       10.0      
C24        c          89.0       85.0       3.0        153.0      163.0      10.0      
C25        c          10.0       52.0       6.0        172.0      182.0      10.0      
